"WTSCI29.Code.or.Value","WTSCI29.Value.Description","WTSCI29.Count","WTSCI29.Cumulative","WTSCI29.Skip.to.Item"
"0 to 456559.93088","Range of Values",727,727,NA
".","Missing",51,778,NA
