"LBDBR11C.Code.or.Value","LBDBR11C.Value.Description","LBDBR11C.Count","LBDBR11C.Cumulative","LBDBR11C.Skip.to.Item"
"0","At or above the detection limit",278,278,NA
"1","Below lower detection limit",4,282,NA
".","Missing",2,284,NA
