"DSQTCHOL.Code.or.Value","DSQTCHOL.Value.Description","DSQTCHOL.Count","DSQTCHOL.Cumulative","DSQTCHOL.Skip.to.Item"
"0.13 to 250","Range of Values",433,433,NA
".","Missing",8821,9254,NA
