"ALQ130.Code.or.Value","ALQ130.Value.Description","ALQ130.Count","ALQ130.Cumulative","ALQ130.Skip.to.Item"
"1 to 25","Range of Values",3593,3593,NA
"777","Refused",0,3593,NA
"999","Don't know",3,3596,NA
".","Missing",2328,5924,NA
