"OHD26LAS.Code.or.Value","OHD26LAS.Value.Description","OHD26LAS.Count","OHD26LAS.Cumulative","OHD26LAS.Skip.to.Item"
"0 to 11","Range of Values",2678,2678,NA
"99","Calculation cannot be determined",131,2809,NA
".","Missing",4321,7130,NA
