"DR2ISELE.Code.or.Value","DR2ISELE.Value.Description","DR2ISELE.Count","DR2ISELE.Cumulative","DR2ISELE.Skip.to.Item"
"0 to 1341.9","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
