"DR2TS160.Code.or.Value","DR2TS160.Value.Description","DR2TS160.Count","DR2TS160.Cumulative","DR2TS160.Skip.to.Item"
"0 to 118.472","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
