"SSK_FLC.Code.or.Value","SSK_FLC.Value.Description","SSK_FLC.Count","SSK_FLC.Cumulative","SSK_FLC.Skip.to.Item"
"0.0267 to 204","Range of Values",164,164,NA
".","Missing",1877,2041,NA
