"OHD02LAS.Code.or.Value","OHD02LAS.Value.Description","OHD02LAS.Count","OHD02LAS.Cumulative","OHD02LAS.Skip.to.Item"
"0 to 10","Range of Values",2317,2317,NA
"99","Calculation cannot be determined",487,2804,NA
".","Missing",4326,7130,NA
