"WTSBA20.Code.or.Value","WTSBA20.Value.Description","WTSBA20.Count","WTSBA20.Cumulative","WTSBA20.Skip.to.Item"
"0 to 351176.92629","Range of Values",946,946,NA
".","Missing",65,1011,NA
