"DR1ICRYP.Code.or.Value","DR1ICRYP.Value.Description","DR1ICRYP.Count","DR1ICRYP.Cumulative","DR1ICRYP.Skip.to.Item"
"0 to 12155","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
