"DR1_320Z.Code.or.Value","DR1_320Z.Value.Description","DR1_320Z.Count","DR1_320Z.Cumulative","DR1_320Z.Skip.to.Item"
"0 to 9472","Range of Values",9255,9255,NA
".","Missing",507,9762,NA
