"WBXP038.Code.or.Value","WBXP038.Value.Description","WBXP038.Count","WBXP038.Cumulative","WBXP038.Skip.to.Item"
"-162.5675 to 170.714","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
