"DR1TNIAC.Code.or.Value","DR1TNIAC.Value.Description","DR1TNIAC.Count","DR1TNIAC.Cumulative","DR1TNIAC.Skip.to.Item"
"0 to 217.829","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
