"DSDDAY1.Code.or.Value","DSDDAY1.Value.Description","DSDDAY1.Count","DSDDAY1.Cumulative","DSDDAY1.Skip.to.Item"
"1","Yes",4285,4285,NA
"2","No",2373,6658,NA
"7","Refused",0,6658,NA
"9","Don't know",39,6697,NA
".","Missing",2420,9117,NA
