"SSIMP.Code.or.Value","SSIMP.Value.Description","SSIMP.Count","SSIMP.Cumulative","SSIMP.Skip.to.Item"
"PEL_Impression","Value was recorded",1717,1717,NA
"< blank >","Missing",0,1717,NA
