"WHD110.Code.or.Value","WHD110.Value.Description","WHD110.Count","WHD110.Cumulative","WHD110.Skip.to.Item"
"70 to 360","Range of Values",3359,3359,NA
"77777","Refused",3,3362,NA
"99999","Don't know",56,3418,NA
".","Missing",2626,6044,NA
