"DRD370F.Code.or.Value","DRD370F.Value.Description","DRD370F.Count","DRD370F.Cumulative","DRD370F.Skip.to.Item"
"1","Yes",163,163,""
"2","No",4719,4882,"DRD370G"
".","Missing",4662,9544,""
