"OHXRRES.Code.or.Value","OHXRRES.Value.Description","OHXRRES.Count","OHXRRES.Cumulative","OHXRRES.Skip.to.Item"
"1","Root restoration detected",204,204,NA
"2","Root restoration not detected",4932,5136,NA
"9","Cannot be accessed",2,5138,NA
".","Missing",4027,9165,NA
