"RFXC114.Code.or.Value","RFXC114.Value.Description","RFXC114.Count","RFXC114.Cumulative","RFXC114.Skip.to.Item"
"-5.986 to 5.61","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
