"FSD860.Code.or.Value","FSD860.Value.Description","FSD860.Count","FSD860.Cumulative","FSD860.Skip.to.Item"
"0 to 33","Range of Values",38,38,NA
"77777","Refused",4,42,NA
"99999","Don't know",20,62,NA
".","Missing",9909,9971,NA
