"FIAPROXY.Code.or.Value","FIAPROXY.Value.Description","FIAPROXY.Count","FIAPROXY.Cumulative","FIAPROXY.Skip.to.Item"
"1","Yes",18,18,NA
"2","No",10451,10469,NA
".","Missing",68,10537,NA
