"DS1TVB1.Code.or.Value","DS1TVB1.Value.Description","DS1TVB1.Count","DS1TVB1.Cumulative","DS1TVB1.Skip.to.Item"
"0.045 to 1500","Range of Values",1264,1264,NA
".","Missing",8074,9338,NA
