"RFXT161.Code.or.Value","RFXT161.Value.Description","RFXT161.Count","RFXT161.Cumulative","RFXT161.Skip.to.Item"
"1406 to 1415","Range of Values",51050,51050,NA
".","Missing",26,51076,NA
