"LBDLDLSI.Code.or.Value","LBDLDLSI.Value.Description","LBDLDLSI.Count","LBDLDLSI.Cumulative","LBDLDLSI.Skip.to.Item"
"0.595 to 7.163","Range of Values",2699,2699,NA
".","Missing",492,3191,NA
