"SXQ400.Code.or.Value","SXQ400.Value.Description","SXQ400.Count","SXQ400.Cumulative","SXQ400.Skip.to.Item"
"0 to 1000","Range of Values",1103,1103,NA
"77777","Refused",1,1104,NA
"99999","Don't know",1,1105,NA
".","Missing",2180,3285,NA
