"SIALANG.Code.or.Value","SIALANG.Value.Description","SIALANG.Count","SIALANG.Cumulative","SIALANG.Skip.to.Item"
"1","English",8826,8826,NA
"2","Spanish",1711,10537,NA
".","Missing",0,10537,NA
