"URDMEPLC.Code.or.Value","URDMEPLC.Value.Description","URDMEPLC.Count","URDMEPLC.Cumulative","URDMEPLC.Skip.to.Item"
"0","At or above the detection limit",2605,2605,NA
"1","Below lower detection limit",0,2605,NA
".","Missing",92,2697,NA
