"DXDTRTOT.Code.or.Value","DXDTRTOT.Value.Description","DXDTRTOT.Count","DXDTRTOT.Cumulative","DXDTRTOT.Skip.to.Item"
"7353.9 to 100735.5","Range of Values",4618,4618,NA
".","Missing",1074,5692,NA
