"LBXHSCRP.Code.or.Value","LBXHSCRP.Value.Description","LBXHSCRP.Count","LBXHSCRP.Cumulative","LBXHSCRP.Skip.to.Item"
"0.11 to 182.82","Range of Values",7250,7250,NA
".","Missing",1116,8366,NA
