"DS2IVD.Code.or.Value","DS2IVD.Value.Description","DS2IVD.Count","DS2IVD.Cumulative","DS2IVD.Skip.to.Item"
"0.03 to 1250","Range of Values",2479,2479,NA
".","Missing",3047,5526,NA
