"TYXP095.Code.or.Value","TYXP095.Value.Description","TYXP095.Count","TYXP095.Cumulative","TYXP095.Skip.to.Item"
"-275 to 91","Range of Values",8465,8465,NA
".","Missing",4,8469,NA
