"LBDBCDLC.Code.or.Value","LBDBCDLC.Value.Description","LBDBCDLC.Count","LBDBCDLC.Cumulative","LBDBCDLC.Skip.to.Item"
"0","At or above the detection limit",3703,3703,NA
"1","Below lower detection limit",1512,5215,NA
".","Missing",717,5932,NA
