"SMD100BR.Code.or.Value","SMD100BR.Value.Description","SMD100BR.Count","SMD100BR.Cumulative","SMD100BR.Skip.to.Item"
"Cigarette Brand/sub-brand","Value was recorded",1026,1026,NA
"< blank >","Missing",5764,6790,NA
