"DXDTOTOT.Code.or.Value","DXDTOTOT.Value.Description","DXDTOTOT.Count","DXDTOTOT.Cumulative","DXDTOTOT.Skip.to.Item"
"17092.9 to 180764.5","Range of Values",5056,5056,NA
".","Missing",977,6033,NA
