"WTSPO48.Code.or.Value","WTSPO48.Value.Description","WTSPO48.Count","WTSPO48.Cumulative","WTSPO48.Skip.to.Item"
"0.0000000 to 847825.6303200","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
