"PSQ200G.Code.or.Value","PSQ200G.Value.Description","PSQ200G.Count","PSQ200G.Cumulative","PSQ200G.Skip.to.Item"
"1","Yes",2,2,NA
"2","No",0,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",119,121,NA
