"PHQ030.Code.or.Value","PHQ030.Value.Description","PHQ030.Count","PHQ030.Cumulative","PHQ030.Skip.to.Item"
"1","Yes",38,38,NA
"2","No",9442,9480,NA
".","Missing",449,9929,NA
