"SXD642.Code.or.Value","SXD642.Value.Description","SXD642.Count","SXD642.Cumulative","SXD642.Skip.to.Item"
"0 to 14610","Range of Values",1178,1178,NA
"77777","Refused",5,1183,NA
"99999","Don't know",11,1194,NA
".","Missing",3863,5057,NA
