"SSEBVIND.Code.or.Value","SSEBVIND.Value.Description","SSEBVIND.Count","SSEBVIND.Cumulative","SSEBVIND.Skip.to.Item"
"0.01 to 7.17","Range of Values",1843,1843,NA
".","Missing",1,1844,NA
