"CIQG38.Code.or.Value","CIQG38.Value.Description","CIQG38.Count","CIQG38.Cumulative","CIQG38.Skip.to.Item"
"0 to 28","Range of Values",43,43,NA
"77","Refused",0,43,NA
"99","Don't know",2,45,NA
".","Missing",733,778,NA
