"MCQ240M.Code.or.Value","MCQ240M.Value.Description","MCQ240M.Count","MCQ240M.Cumulative","MCQ240M.Skip.to.Item"
"45 to 77","Range of Values",3,3,NA
"85","85 years or older",0,3,NA
"77777","Refused",0,3,NA
"99999","Don't know",0,3,NA
".","Missing",10467,10470,NA
