"DR1IVK.Code.or.Value","DR1IVK.Value.Description","DR1IVK.Count","DR1IVK.Cumulative","DR1IVK.Skip.to.Item"
"0 to 3528.2","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
