"LBDF03LC.Code.or.Value","LBDF03LC.Value.Description","LBDF03LC.Count","LBDF03LC.Cumulative","LBDF03LC.Skip.to.Item"
"0","At or above the detection limit",294,294,NA
"1","Below lower detection limit",4,298,NA
".","Missing",3,301,NA
