"URXDEA.Code.or.Value","URXDEA.Value.Description","URXDEA.Count","URXDEA.Cumulative","URXDEA.Skip.to.Item"
"0.1414 to 43700","Range of Values",2989,2989,NA
".","Missing",216,3205,NA
