"DXXLAFAT.Code.or.Value","DXXLAFAT.Value.Description","DXXLAFAT.Count","DXXLAFAT.Cumulative","DXXLAFAT.Skip.to.Item"
"162.7 to 7182.4","Range of Values",4671,4671,NA
".","Missing",1021,5692,NA
