"DXXAPFAT.Code.or.Value","DXXAPFAT.Value.Description","DXXAPFAT.Count","DXXAPFAT.Cumulative","DXXAPFAT.Skip.to.Item"
"11.4 to 60.4","Range of Values",4694,4694,NA
".","Missing",998,5692,NA
