"SSDOCP.Code.or.Value","SSDOCP.Value.Description","SSDOCP.Count","SSDOCP.Cumulative","SSDOCP.Skip.to.Item"
"0.04 to 1.1","Range of Values",2316,2316,NA
".","Missing",1,2317,NA
