"SSBETA.Code.or.Value","SSBETA.Value.Description","SSBETA.Count","SSBETA.Cumulative","SSBETA.Skip.to.Item"
"0.7 to 2.23","Range of Values",159,159,NA
".","Missing",1558,1717,NA
