"SSQ021A.Code.or.Value","SSQ021A.Value.Description","SSQ021A.Count","SSQ021A.Cumulative","SSQ021A.Skip.to.Item"
"10","Spouse",1416,1416,NA
"77","Refused",0,1416,NA
"99","Don't know",4,1420,NA
".","Missing",1636,3056,NA
