"RHQ576U.Code.or.Value","RHQ576U.Value.Description","RHQ576U.Count","RHQ576U.Cumulative","RHQ576U.Skip.to.Item"
"1","Months",34,34,NA
"2","Years",56,90,NA
"7","Refused",0,90,NA
"9","Don't know",0,90,NA
".","Missing",3427,3517,NA
