"LBXPCBLA.Code.or.Value","LBXPCBLA.Value.Description","LBXPCBLA.Count","LBXPCBLA.Cumulative","LBXPCBLA.Skip.to.Item"
"2.3 to 1030","Range of Values",1896,1896,NA
".","Missing",378,2274,NA
