"DRD370RQ.Code.or.Value","DRD370RQ.Value.Description","DRD370RQ.Count","DRD370RQ.Cumulative","DRD370RQ.Skip.to.Item"
"1 to 8","Range of Values",171,171,NA
".","Missing",9642,9813,NA
