"MPQ120af.Code.or.Value","MPQ120af.Value.Description","MPQ120af.Count","MPQ120af.Cumulative","MPQ120af.Skip.to.Item"
"41","Foot - left",104,104,NA
".","Missing",4776,4880,NA
