"BIXS011K.Code.or.Value","BIXS011K.Value.Description","BIXS011K.Count","BIXS011K.Cumulative","BIXS011K.Skip.to.Item"
"280.14 to 1063.29","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
