"HUD080.Code.or.Value","HUD080.Value.Description","HUD080.Count","HUD080.Cumulative","HUD080.Skip.to.Item"
"1 to 5","Range of Values",1025,1025,NA
"6","6 times or more",13,1038,NA
"77777","Refused",0,1038,NA
"99999","Don't know",2,1040,NA
".","Missing",9109,10149,NA
