"LBDIRNSI.Code.or.Value","LBDIRNSI.Value.Description","LBDIRNSI.Count","LBDIRNSI.Cumulative","LBDIRNSI.Skip.to.Item"
"1.25 to 68.02","Range of Values",3096,3096,NA
".","Missing",442,3538,NA
