"OPDSASD.Code.or.Value","OPDSASD.Value.Description","OPDSASD.Count","OPDSASD.Cumulative","OPDSASD.Skip.to.Item"
"0","No",2048,2048,NA
"1","Yes",288,2336,NA
".","Missing",598,2934,NA
