"PAQ724l.Code.or.Value","PAQ724l.Value.Description","PAQ724l.Count","PAQ724l.Cumulative","PAQ724l.Skip.to.Item"
"12","ICE HOCKEY",3,3,NA
".","Missing",9481,9484,NA
