"DRD350E.Code.or.Value","DRD350E.Value.Description","DRD350E.Count","DRD350E.Cumulative","DRD350E.Skip.to.Item"
"1","Yes",34,34,""
"2","No",1185,1219,"DRD350F"
".","Missing",8424,9643,""
