"DSQTCOPP.Code.or.Value","DSQTCOPP.Value.Description","DSQTCOPP.Count","DSQTCOPP.Cumulative","DSQTCOPP.Skip.to.Item"
"0.0003 to 60","Range of Values",1663,1663,NA
".","Missing",8093,9756,NA
