"OSQ120f.Code.or.Value","OSQ120f.Value.Description","OSQ120f.Count","OSQ120f.Cumulative","OSQ120f.Skip.to.Item"
"1","Yes",7,7,""
"2","No",5,12,"OSQ060"
"7","Refused",0,12,"OSQ060"
"9","Don't know",0,12,"OSQ060"
".","Missing",6206,6218,""
