"LBXFOL.Code.or.Value","LBXFOL.Value.Description","LBXFOL.Count","LBXFOL.Cumulative","LBXFOL.Skip.to.Item"
"2 to 689","Range of Values",8268,8268,NA
".","Missing",911,9179,NA
