"LBCBR8LA.Code.or.Value","LBCBR8LA.Value.Description","LBCBR8LA.Count","LBCBR8LA.Cumulative","LBCBR8LA.Skip.to.Item"
"0.2 to 7.5","Range of Values",247,247,NA
".","Missing",0,247,NA
